Date,AAPL,MSFT,SPX
2011-08-19,47.357812,21.494089000000002,1123.530029
2011-08-22,47.412348,21.431529,1123.819946
2011-08-23,49.694912,22.092885,1162.349976
2011-08-24,50.038095,22.253756,1177.599976
2011-08-25,49.710874,21.958827,1159.27002
2011-08-26,51.022413,22.56656,1176.800049
2011-08-29,51.872388,23.093857999999997,1210.079956
2011-08-30,51.875048,23.44241,1212.920044
2011-08-31,51.188686,23.77309,1218.890015
2011-09-01,50.683223,23.424536,1204.420044
2011-09-02,49.754769,23.058107999999997,1173.969971
2011-09-06,50.511633,22.798929,1165.23999
2011-09-07,51.068968,23.236854,1198.619995
2011-09-08,51.096903999999995,23.433473,1185.900024
2011-09-09,50.211013,23.004485,1154.22998
2011-09-12,50.538233,23.138544,1162.27002
2011-09-13,51.16075,23.272604,1172.869995
2011-09-14,51.783266,23.683717,1188.680054
2011-09-15,52.270107,24.121642,1209.109985
2011-09-16,53.273052,24.237827,1216.01001
2011-09-19,54.753524,24.318261,1204.089966
2011-09-20,54.995612,24.112704,1202.089966
2011-09-21,54.821362,23.227917,1166.76001
2011-09-22,53.448634,22.396752,1129.560059
2011-09-23,53.778511,22.396752,1136.430054
2011-09-26,53.628205,22.736368,1162.949951
2011-09-27,53.108111,22.941925,1175.380005
2011-09-28,52.808823,22.861489000000002,1151.060059
2011-09-29,51.952199,22.745306,1160.400024
2011-09-30,50.721796000000005,22.244819,1131.420044
2011-10-03,49.827927,21.923079,1099.22998
2011-10-04,49.548594,22.646995999999998,1123.949951
2011-10-05,50.313435999999996,23.138544,1144.030029
2011-10-06,50.196382,23.540720999999998,1164.969971
2011-10-07,49.189448,23.460285,1155.459961
2011-10-10,51.718089,24.076956,1194.890015
2011-10-11,53.245116,24.130579,1195.540039
2011-10-12,53.497849,24.094829,1207.25
2011-10-13,54.32786899999999,24.29145,1203.660034
2011-10-14,56.132901000000004,24.371885,1224.579956
2011-10-17,55.865541,24.112704,1200.859985
2011-10-18,56.164826,24.407633999999998,1225.380005
2011-10-19,53.02297900000001,24.246763,1209.880005
2011-10-20,52.582696999999996,24.166329,1215.390015
